Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,0.5034200333536664,0.0006897746119152193,                 2.2357131154263987,1.0,2.8647946796093216e-06 
UGC04305_rotmod,1.552163812928533,1.7854175426860506e-14,                 0.8755215319984063,1.0,3.618760298237866e-06 
NGC2841_rotmod,1.2486149717628272,2.471599311363228e-06,                 0.9465944977681099,1.0957022026506602,3.985111620249881e-06 
UGC07232_rotmod,0.21873633484652777,0.003840369376006398,                 0.785402642490305,1.0,2.3682255868199998e-06 
NGC4068_rotmod,0.129187633074088,0.003445327994746343,                 0.781754810104562,1.0,2.6562252603554394e-06 
D564-8_rotmod,0.038569978425180854,0.011089409944100266,                 1.1661261694168077,1.0,2.6562252603554394e-06 
NGC0024_rotmod,0.6820997352171764,2.4846439198996035e-05,                 1.381191489466,1.0,3.743967144766226e-06 
DDO168_rotmod,2.973705416056844,0.0038518572697990652,                 0.6010981012969966,1.0,3.065057007881928e-06 
D631-7_rotmod,0.2554109841914732,0.007515129637562087,                 0.12155826520037724,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,0.2948562173337389,0.0015314834382333545,                 1.3942247866853683,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.4084347079519343,9.645843568563325e-05,                 0.9040978032317978,1.0,3.7125273763091643e-06 
NGC6946_rotmod,1.686479268056768,6.240148434957662e-06,                 0.6435025890462001,0.5542195684402975,4.032308821953264e-06 
NGC7331_rotmod,0.9170679370498925,5.232477477080738e-06,                 0.5374269027036679,1.1235686113945522,3.877713734514092e-06 
NGC5907_rotmod,6.431399430248307,5.024920603214671e-06,                 0.9423535870962705,1.0,3.4926067951406126e-06 
NGC3198_rotmod,1.6269684899421057,2.1277222695602606e-05,                 0.8727337724640943,1.0,3.935691023684328e-06 
NGC0891_rotmod,2.889681006098714,6.634457403735033e-06,                 0.4054563877929534,0.7443058447444344,3.4685488224002466e-06 
NGC3741_rotmod,0.5689472637503872,0.019287623258875203,                 0.6527945578091132,1.0,3.558005140268911e-06 
NGC0247_rotmod,1.9424379568311225,2.0189309670112587e-05,                 1.5245743876879778,1.0,3.694658858819989e-06 
UGC07524_rotmod,1.317191252985464,9.23772020254932e-05,                 1.5697067067387391,1.0,3.7727107017916375e-06 
UGC07151_rotmod,0.9116883977135299,8.148831897634947e-05,                 1.1444380237287335,1.0,3.1310131610425587e-06 
